date,price
2022-01-01,98.99436939669944
2022-01-02,100.0608807277689
2022-01-03,100.42408020977216
2022-01-04,98.9917368622393
2022-01-05,98.49816381281616
2022-01-06,100.20359700944105
2022-01-07,97.85213999728725
2022-01-08,97.51072152323069
2022-01-09,98.82315368033724
2022-01-10,98.04567200354148
2022-01-11,97.45849005164749
2022-01-12,97.44415491261942
2022-01-13,98.9753822541808
2022-01-14,98.42220686653592
2022-01-15,98.0639677892562
2022-01-16,97.71647686847285
2022-01-17,99.95020720898874
2022-01-18,102.21586460190257
2022-01-19,103.32393966637008
2022-01-20,103.80562182018633
2022-01-21,104.65409635295823
2022-01-22,106.29793176314595
2022-01-23,105.38819806170568
2022-01-24,106.71169366273705
2022-01-25,105.45902572060261
2022-01-26,104.87082642017323
2022-01-27,105.90601179664547
2022-01-28,104.47767785516508
2022-01-29,104.41491945119465
2022-01-30,103.59865070637699
2022-01-31,103.41671140812826
2022-02-01,100.60523595856114
2022-02-02,98.90346508745183
2022-02-03,98.29038502314621
2022-02-04,99.28062372628528
2022-02-05,99.18766163638078
2022-02-06,99.26983456312006
2022-02-07,100.03244797750762
2022-02-08,99.23265220112582
2022-02-09,99.59348923866776
2022-02-10,98.87107141355717
2022-02-11,97.24200293136579
2022-02-12,96.93967774480883
2022-02-13,97.57347504090099
2022-02-14,97.98190692410222
2022-02-15,98.0487007055526
2022-02-16,100.47282272549994
2022-02-17,100.9680654865194
2022-02-18,102.03705075032359
2022-02-19,104.402415845092
2022-02-20,103.13488143729097
2022-02-21,102.14603635346138
2022-02-22,104.00888610591797
2022-02-23,103.26203705345205
2022-02-24,103.3752981913693
2022-02-25,104.56340700192277
2022-02-26,105.57841067664432
2022-02-27,107.51565434530535
2022-02-28,109.20971844939031
2022-03-01,110.46496694785388
2022-03-02,109.69976649561582
2022-03-03,110.65948879934228
2022-03-04,111.09578817294255
2022-03-05,109.71123973749455
2022-03-06,111.35394508396199
2022-03-07,112.34191796744145
2022-03-08,112.4828959308813
2022-03-09,112.31069354724576
2022-03-10,111.05472177568552
2022-03-11,111.3651464578721
2022-03-12,111.975916486475
2022-03-13,111.13480380863476
2022-03-14,112.51532484150447
2022-03-15,111.37081552945638
2022-03-16,109.09539800752894
2022-03-17,110.31696873393646
2022-03-18,109.96024112278717
2022-03-19,109.90962687978916
2022-03-20,109.07704307618013
2022-03-21,107.41256801834595
2022-03-22,108.846780771678
2022-03-23,108.18404648364339
2022-03-24,110.06747933267951
2022-03-25,111.04411708715416
2022-03-26,110.7834319758416
2022-03-27,109.66905877354584
2022-03-28,108.95350985385434
2022-03-29,107.7195861526194
2022-03-30,110.05399169502594
2022-03-31,110.32300902624227
2022-04-01,111.68020879798732
2022-04-02,110.35417155048552
2022-04-03,110.64223470520804
2022-04-04,112.0339612638121
2022-04-05,111.74826260556952
2022-04-06,112.98991370897382
2022-04-07,111.85485329205045
2022-04-08,110.41922807877211
2022-04-09,110.92649468841796
2022-04-10,110.59462875661283
2022-04-11,111.39318245963273
2022-04-12,109.2790646931948
2022-04-13,110.14484407673191
2022-04-14,113.09485776132368
2022-04-15,113.15748292886047
2022-04-16,113.28664328889626
2022-04-17,113.58067818771707
2022-04-18,111.55669809025936
2022-04-19,112.12133856899267
2022-04-20,110.41102874534012
2022-04-21,110.02715212431396
2022-04-22,111.48266781606269
