date,ticker,price
2024-01-01,AAPL,151.6851606347018
2024-01-02,AAPL,153.44091536018576
2024-01-03,AAPL,153.02099716985614
2024-01-04,AAPL,154.3950050007008
2024-01-05,AAPL,154.35777332761563
2024-01-06,AAPL,153.42617470840452
2024-01-07,AAPL,152.4598146121285
2024-01-08,AAPL,151.6187417139152
2024-01-09,AAPL,152.19074677658048
2024-01-10,AAPL,151.81702706194662
2024-01-11,AAPL,153.58237952348125
2024-01-12,AAPL,154.31316707463276
2024-01-13,AAPL,154.81388675651579
2024-01-14,AAPL,155.33165438458133
2024-01-15,AAPL,154.31914969057584
2024-01-16,AAPL,153.3280378439066
2024-01-17,AAPL,153.879404297758
2024-01-18,AAPL,154.99665983766786
2024-01-19,AAPL,155.1087265815377
2024-01-20,AAPL,153.00872570183563
