date,ticker,price
2024-01-01,AAPL,149.49669129107923
2024-01-02,AAPL,148.8721032709823
2024-01-03,AAPL,147.77953577426436
2024-01-04,AAPL,145.95806056849577
2024-01-05,AAPL,146.3601219996496
2024-01-06,AAPL,144.65843528881558
2024-01-07,AAPL,144.08622218725154
2024-01-08,AAPL,145.55741128746928
2024-01-09,AAPL,145.67929687614412
2024-01-10,AAPL,145.58897387886037
2024-01-11,AAPL,146.9732714989048
2024-01-12,AAPL,147.9362793315425
2024-01-13,AAPL,148.2766140344043
2024-01-14,AAPL,146.29942517349934
2024-01-15,AAPL,147.2930779473847
2024-01-16,AAPL,147.0019621090667
2024-01-17,AAPL,146.26903579968794
2024-01-18,AAPL,144.72747294816125
2024-01-19,AAPL,144.62279017619042
2024-01-20,AAPL,145.523394904027
