date,ticker,price
2024-01-01,AAPL,149.41542022002167
2024-01-02,AAPL,149.12217918088447
2024-01-03,AAPL,149.75444291166065
2024-01-04,AAPL,151.35884621444688
2024-01-05,AAPL,151.7299518247281
2024-01-06,AAPL,152.35459961231842
2024-01-07,AAPL,153.3476005803563
2024-01-08,AAPL,155.0493131369076
2024-01-09,AAPL,154.81590395023056
2024-01-10,AAPL,153.42284993053
2024-01-11,AAPL,156.4919695963167
2024-01-12,AAPL,157.1545896868016
2024-01-13,AAPL,156.24887912726115
2024-01-14,AAPL,157.77465915232796
2024-01-15,AAPL,156.7788169658396
2024-01-16,AAPL,156.41469452507965
2024-01-17,AAPL,157.67556758756314
2024-01-18,AAPL,157.3718665638416
2024-01-19,AAPL,156.88130697634261
2024-01-20,AAPL,158.63376659642003
